Comuna,Propiedad,Precio,Direccion,Tamaño en m2,Dormitorios,Baños,ID
Tomé,Casa,269635574,"Pingueral - Los Satélites 20, Tomé, Bío Bío, Chile, Pingueral, Tomé, Biobío",431,3,3,58
Tomé,Casa,96034588,"Vicente Palacios 2552, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",217,3,2,59
Tomé,Casa,697728218,"Sotomayor 1053, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",570,9,5,60
Tomé,Casa,55736997,"Pasaje 1,villa Fresia ,dichato,tomé, Tomé, Biobío",120,4,2,61
Tomé,Casa,313959230,"Punta De Parra, Condominio Bello Horizonte, Ciudad de Tomé, Tomé, Biobío",1000,5,4,62
Tomé,Casa,55404569,"José Joaquín Prieto Vial, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",100,3,1,63
Tomé,Casa,88647312,"Pasaje 1, Dichato, Tomé, Chile, Dichato, Tomé, Biobío",370,3,1,64
Tomé,Casa,254861021,"Las Tuninas 1, Tomé, Chile, Pingueral, Tomé, Biobío",554,4,3,65
Tomé,Casa,340000000,"Los Cerezos Sn, Ciudad de Tomé, Tomé, Biobío",810,5,7,66
Tomé,Casa,110735267,"Malaquías Concha 100, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",694,8,4,67
Tomé,Casa,195762814,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",500,3,2,68
Tomé,Casa,406300180,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",300,3,3,69
Tomé,Casa,197609633,"Los Castaños, Ciudad de Tomé, Tomé, Biobío",1000,4,3,70
Tomé,Casa,96034588,"Vicente Palacios 1000, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",255,3,2,71
Tomé,Casa,120043234,"Santiago Osorio 2284, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",200,3,2,72
Tomé,Casa,147006792,"Tomé, Biobío",500,3,2,73
Tomé,Casa,254861021,"Pingueral, Tomé, Biobío",554,4,3,74
Tomé,Casa,288103764,"Pingueral, Pingueral, Tomé, Biobío",438,6,3,76
Tomé,Casa,217924641,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",500,4,3,77
Tomé,Casa,254861021,"Las Tuninas, Tomé, Chile, Pingueral, Tomé, Biobío",554,4,3,78
Tomé,Casa,295491040,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",762,3,3,79
Tomé,Casa,51000000,"Candelaria Sn, Ciudad de Tomé, Tomé, Biobío",105,3,1,81
Tomé,Casa,150000000,"El Sauce Dichato 1393, Dichato, Tomé, Biobío",1200,2,1,83
Tomé,Casa,92000000,"Edmundo Witting 000, Ciudad de Tomé, Tomé, Biobío",332,5,2,84
Tomé,Casa,443236559,"Los Pinos 139, Tomé, Bío Bío, Chile, Pingueral, Tomé, Biobío",665,6,6,85
Tomé,Casa,140469053,"Leonardo Bustamante, 2100 - 2400, Ciudad de Tomé, Tomé, Biobío",1020,4,2,86
Tomé,Casa,277022850,"Avenida Del Río, Tomé, Chile, Pingueral, Tomé, Biobío",315,3,3,87
Tomé,Departamento,206000000,"Pingueral Sn, Pingueral, Tomé, Biobío",90,2,2,88
Tomé,Departamento,83180727,"Bellavista, Tomé, Chile, Tomé, Biobío",48,3,1,89
Tomé,Departamento,53188387,"Pedro Leon Ugalde, Dichato, Tomé, Chile, Dichato, Tomé, Biobío",56,2,1,90
Tomé,Departamento,217924641,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",64,2,2,91
Tomé,Departamento,79000000,"Bellavista 328, Tomé, Chile, Tomé, Biobío",59,3,1,92
Tomé,Departamento,313959230,"Avenida Pingueral 185, Pingueral, Tomé, Biobío",135,3,2,93
Tomé,Departamento,313959230,"Nou Propiedades // Departamento Pingueral Maravillosa Vista, Pingueral, Tomé, Biobío",108,3,2,94
Tomé,Departamento,232699193,"Avenida Pingueral, Tomé, Chile, Pingueral, Tomé, Biobío",64,2,2,95
Tomé,Departamento,277022850,"Condominio Rocamar Pingueral, Pingueral, Tomé, Biobío",104,4,3,96
Tomé,Departamento,116349596,"Av. Werner 2500, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",60,2,2,98
Tomé,Departamento,131124148,"Av. Werner 2400 - 2700, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",68,3,2,99
Tomé,Departamento,118196415,"Bellavista Tome Edificio Don Guillermo, Tomé, Biobío",54,2,1,100
Tomé,Departamento,145344655,"Av. Werner 2635, 4160563 Tome, Tomé, Bío Bío, Chile, Ciudad de Tomé, Tomé, Biobío",65,3,2,101
Tomé,Departamento,116349596,"A Latorre 626-668, Tome, Tomé, Bío Bío, Chile, Tomé, Biobío",50,3,1,102
Tomé,Departamento,313959230,"Pingueral, Pingueral, Tomé, Biobío",135,3,2,103
Tomé,Departamento,206843728,"Av. Pingueral 158, Tomé, Chile, Pingueral, Tomé, Biobío",130,2,2,104
Tomé,Departamento,129277329,"Avenida Werner 2500, Tome, Tomé, Chile, Ciudad de Tomé, Tomé, Biobío",65,3,2,105
Tomé,Departamento,284410126,"Av. Las Palmeras, Tomé, Bío Bío, Chile, Pingueral, Tomé, Biobío",130,3,2,106
Tomé,Departamento,256707840,"Tomé, Pingueral, Tomé, Biobío",80,2,2,107
Tomé,Departamento,258554659,"Tomé, Biobío",84,2,2,108
Tomé,Departamento,65000000,"Pedro Leon Ugalde 155, Dichato, Tomé, Bío Bío, Chile, Dichato, Tomé, Biobío",60,3,1,109
Tomé,Departamento,78000000,"Almirante Latorre 450, Tome, Tomé, Chile, Tomé, Biobío",54,3,1,110
Talcahuano,Casa,258554659,"Av. Parques De Carriel 5745, Concepción, Talcahuano, Bío Bío, Chile, Talcahuano, Biobío",200,3,3,112
Talcahuano,Casa,115000000,"Villa Ensenada, Talcahuano, Talcahuano, Biobío",160,4,2,113
Talcahuano,Casa,199456452,"Calle 6, Brisas del Sol, Talcahuano, Biobío",175,3,3,114
Talcahuano,Casa,155132796,"Jaime Repullo 2901, Carriel, Talcahuano, Biobío",94,4,2,115
Talcahuano,Casa,216077822,"Jaime Repullo, Talcahuano, Chile, Carriel, Talcahuano, Biobío",197,4,3,116
Talcahuano,Casa,215000000,"Calle Ll, Talcahuano, Chile, Brisas del Sol, Talcahuano, Biobío",136,4,3,117
Talcahuano,Casa,184681900,"Poblacion San Vicente Talcahuano, San Vicente-Tumbes, Talcahuano, Biobío",400,5,2,118
Talcahuano,Casa,97000000,"Manuel Bayón Con Augusto Orrego Luco, Carriel, Talcahuano, Biobío",113,4,1,119
Talcahuano,Casa,76000000,"Sector Las Higueras, Frente Al Hospital, Talcahuano, Biobío",55,3,1,120
Talcahuano,Casa,105822728,"Juan Guillermo Sosa, Carriel, Talcahuano, Biobío",115,3,1,121
